PassengerId,Survived
1070,1.0103391
1071,0.8779601
1072,0.080939345
1073,0.076107204
1074,0.95326424
1075,0.14474349
1076,0.9581697
1077,0.23980005
1078,0.91961235
1079,0.13328628
1080,0.2641054
1081,0.13826825
1082,0.4554958
1083,0.24525897
1084,0.6996417
1085,0.19635534
1086,0.7995674
1087,0.47316846
1088,0.88875586
1089,0.91334385
1090,0.18864393
1091,0.25569308
1092,0.61626697
1093,0.9764067
1094,0.2629331
1095,0.91370624
1096,0.16279364
1097,0.13749196
1098,0.57163674
1099,0.15474449
1100,0.8033627
1101,0.14344928
1102,0.16164762
1103,0.074938536
1104,0.22628811
1105,0.82802755
1106,0.33938217
1107,0.37872714
1108,0.67324865
1109,0.34530866
1110,0.99859494
1111,0.1439588
1112,0.8882622
1113,0.1454439
1114,0.89013404
1115,0.16273345
1116,0.871172
1117,0.6902092
1118,0.2018863
1119,0.5921036
1120,0.10350077
1121,0.2696076
1122,0.5183214
1123,0.88859284
1124,0.29031977
1125,0.13563749
1126,0.116171524
1127,0.15457268
1128,0.14797832
1129,0.40375277
1130,0.9178063
1131,0.95249957
1132,0.92587847
1133,0.9352415
1134,0.3593385
1135,0.14842428
1136,0.13476425
1137,0.28257194
1138,0.9317672
1139,0.21753307
1140,0.90204126
1141,0.6233506
1142,0.96984994
1143,0.14107016
1144,0.74263585
1145,0.115596846
1146,0.13407122
1147,0.10243227
1148,0.14461447
1149,0.13682592
1150,0.8971559
1151,0.1563625
1152,0.109568864
1153,0.14055437
1154,0.9178878
1155,0.8996
1156,0.13749196
1157,0.15878332
1158,0.12945361
1159,0.11013636
1160,0.17829268
1161,0.1428833
1162,0.48010322
1163,0.16651201
1164,0.97561026
1165,0.63074225
1166,0.18164882
1167,0.90102154
1168,0.12763743
1169,0.11442903
1170,0.14165574
1171,0.12107663
1172,0.6756368
1173,0.96762586
1174,0.47635487
1175,0.86246425
1176,0.92685854
1177,0.08177492
1178,0.094103135
1179,0.5248988
1180,0.40921256
1181,0.1398471
1182,0.17648228
1183,0.3351821
1184,0.28304967
1185,0.8175386
1186,0.1272069
1187,0.19204916
1188,0.9988993
1189,0.22381382
1190,0.25550976
1191,0.47179946
1192,0.20481098
1193,0.3474898
1194,0.09151822
1195,0.1273799
1196,0.5921036
1197,0.9190201
1198,0.81208473
1199,1.0289161
1200,0.38357663
1201,0.11283523
1202,0.17024788
1203,0.36500284
1204,0.09611806
1205,0.22881301
1206,0.9752849
1207,0.826055
1208,0.33348078
1209,0.1428833
1210,0.16559896
1211,0.18586081
1212,0.28032136
1213,0.4409367
1214,0.1391874
1215,0.31046757
1216,0.9970546
1217,0.110699825
1218,0.9550076
1219,0.20769268
1220,0.42673284
1221,0.2662761
1222,0.9385735
1223,0.47563383
1224,0.19566713
1225,0.867789
1226,0.1752418
1227,0.35903683
1228,0.15065052
1229,0.26685047
1230,0.18739597
1231,0.44694266
1232,0.121702194
1233,0.16680785
1234,0.21176149
1235,0.9928943
1236,0.13029878
1237,0.9174697
1238,0.3853247
1239,0.5260392
1240,0.27837855
1241,0.9292548
1242,0.9512471
1243,0.13566779
1244,0.22628811
1245,0.57670027
1246,0.7026016
1247,0.3054944
1248,0.9339982
1249,0.19743316
1250,0.16588646
1251,0.7308394
1252,0.16025193
1253,0.94459283
1254,0.9292548
1255,0.13541025
1256,0.9387482
1257,0.29690373
1258,0.25323048
1259,0.82300144
1260,0.9675064
1261,0.1410859
1262,0.14350885
1263,0.98128146
1264,0.14560975
1265,0.2519696
1266,0.95055497
1267,0.97999585
1268,0.62454593
1269,0.17024788
1270,0.14529562
1271,0.32699358
1272,0.16588646
1273,0.13354279
1274,0.70574546
1275,0.7955678
1276,0.14165574
1277,0.9998349
1278,0.2084471
1279,0.36512107
1280,0.16354515
1281,-0.033848364
1282,0.17905276
1283,0.94182974
1284,0.15443218
1285,0.10350077
1286,0.092805855
1287,0.9792452
1288,0.14348964
1289,0.9761977
1290,0.16220318
1291,0.54440063
1292,0.9887755
1293,0.11442903
1294,0.9976438
1295,0.48617867
1296,0.40496594
1297,0.072447106
1298,0.1348374
1299,0.36841637
1300,0.68488705
1301,0.74666524
1302,0.5857894
1303,0.9575834
1304,0.7743645
1305,0.14621884
1306,0.9668587
1307,0.071355835
1308,0.16022438
1309,0.24941854
